nombre;lon;lat;unidades
25 de Mayo;-678.274.038.980.406;-319.896.198.488.069;110
25 de Mayo;-602.301.576.569.223;-355.265.113.228.112; 111,10   
25 de Mayo;-546.814.951.271.054;-273.331.053.109.932; 112,21   
28 de Julio;-658.391.207.473.089;-433.837.023.377.194; 113,33   
7 de Abril;-645.825.405.006.861;-263.206.584.981.473; 114,47   
9 de Julio;-588.280.908.377.803;-28.826.457.496.527; 115,61   
9 de Julio;-683.890.526.964.703;-316.458.046.846.082; 116,77   
9 de Julio;-544.912.136.871.941;-264.348.876.114.394; 117,93   
9 de Julio;-609.751.157.295.027;-35.481.190.578.256; 119,11   
«?anducita;-611.338.175.338.174;-303.688.178.800.785; 120,31   
«?orquinco;-708.882.638.485.984;-418.467.273.376.904; 121,51   
«Ålvarez;-608.078.469.904.161;-331.403.539.047.981; 122,72   
A«Òelo;-68.805.219.197.613;-383.598.393.457.539; 123,95   
Aar«¸n Castellanos;-623.291.867.781.285;-343.009.579.908.087; 125,19   
Abd«¸n Castro Tolay;-659.917.423.948.271;-233.201.640.640.822; 126,44   
Abra Pampa;-660.322.682.108.588;-228.431.449.411.788; 127,71   
Abralaite;-65.792.209.430.154;-231.358.937.646.647; 128,98   
Abramo;-641.906.632.402.765;-379.218.412.713.366; 130,27   
Acebal;-608.804.688.942.708;-332.433.836.177.208; 131,58   
Acheral;-654.496.784.464.332;-271.427.938.708.016; 132,89   
Achiras;-649.783.311.643.432;-331.696.958.774.564; 134,22   
Aconquija;-660.582.983.765.108;-275.035.405.012.381; 135,56   
Adelia Mar«a;-64.018.706.351.216;-336.333.900.311.039; 136,92   
Adolfo Alsina;-630.560.058.448.787;-371.963.375.143.524; 138,29   
Adolfo Gonzales Chaves;-602.490.776.485.677;-379.642.254.145.303; 139,67   
Adolfo Van Praet;-640.161.738.244.231;-350.687.880.041.611; 141,07   
Agua de Oro;-643.259.937.691.715;-310.500.245.015.485; 142,48   
Agua Dulce y la Soledad;-650.464.239.088.762;-270.938.953.837.727; 143,90   
Aguada Cecilio;-658.978.743.716.421;-408.663.529.171.297; 145,34   
Aguada de Guerra;-684.614.433.401.377;-409.552.361.898.102; 146,80   
Aguada Guzman;-689.428.325.675.975;-400.648.502.664.189; 148,26   
Aguada San Roque;-689.371.469.809.988;-379.738.679.914.896; 149,75   
Aguar«≠ Grande;-608.529.461.195.375;-299.880.288.078.494; 151,24   
Aguaray;-635.496.991.956.857;-221.863.764.264.674; 152,76   
Aguas Calientes;-649.371.057.987.964;-245.653.059.933.412; 154,28   
Agustoni;-634.827.268.346.081;-357.927.871.529.689; 155,83   
Alba Posse;-547.985.455.372.284;-274.811.807.319.862; 157,38   
Albard«¸n;-684.519.807.662.306;-312.096.344.810.555; 158,96   
Albarellos;-606.273.437.225.375;-332.386.305.005.586; 160,55   
Alberti;-602.828.693.081.193;-350.363.817.959.326; 162,15   
Alcira;-643.355.358.980.884;-327.517.122.016.285; 163,78   
Alcorta;-611.369.934.634.345;-335.768.599.189.389; 165,41   
Aldao;-60.860.255.031.151;-327.105.750.431.398; 167,07   
Aldea Beleiro;-715.479.426.044.265;-455.547.604.536.796; 168,74   
Aldea Epulef;-696.832.150.363.228;-433.048.186.911.105; 170,42   
Aldea Santa Mar«a;-629.142.238.528.503;-336.993.242.969.668; 172,13   
Alejandra;-598.247.012.547.278;-299.434.037.285.444; 173,85   
Alejandro Roca;-637.203.299.331.365;-333.442.762.498.231; 175,59   
Alejo Ledesma;-62.623.853.511.442;-335.987.357.093.936; 177,34   
Algarrobo del «Åguila;-674.087.920.568.523;-364.002.145.195.534; 179,12   
Alicia;-624.655.974.862.229;-319.393.591.274.177; 180,91   
Allen;-682.367.757.347.548;-394.548.258.741.817; 182,72   
Almafuerte;-55.387.471.713.783;-275.255.595.161.851; 184,55   
Almafuerte;-642.413.981.036.842;-322.022.805.517.205; 186,39   
Almirante Brown;-583.673.978.494.737;-348.355.700.988.623; 188,26   
Alpa Corral;-647.275.918.344.128;-32.682.752.317.234; 190,14   
Alpachiri;-638.366.890.133.505;-373.878.939.429.661; 192,04   
Alpachiri y el Molino;-659.100.831.838.862;-272.635.460.272.599; 193,96   
Alta Gracia;-644.436.954.878.587;-316.506.235.252.463; 195,90   
Alta Italia;-640.994.549.558.221;-353.498.672.141.462; 197,86   
Alto Alegre;-62.881.956.428.719;-323.422.198.194.663; 199,84   
Alto de los Quebrachos;-651.225.465.080.377;-305.351.780.991.222; 201,84   
Alto Pelado;-661.255.415.411.401;-338.241.276.567.794; 203,85   
Alto Pencoso;-669.268.856.281.154;-334.319.845.531.256; 205,89   
Alto R«o Senguer;-712.117.317.733.664;-449.493.845.325.169; 207,95   
Alto Verde y los Guchea;-65.612.508.074.534;-273.887.695.155.064; 210,03   
Altos de Chipi«¸n;-623.373.302.112.667;-309.547.219.317.203; 212,13   
Alumin«∏;-709.120.954.468.479;-392.342.734.029.443; 214,25   
Alvear;-606.419.157.603.517;-330.710.404.515.635; 216,39   
Alvear;-565.272.399.231.192;-287.678.860.054.041; 218,56   
Amaicha del Valle;-658.560.920.089.714;-265.104.479.409.167; 220,74   
Amberes;-654.935.457.143.045;-27.275.680.776.845; 222,95   
Amboy;-645.750.894.423.153;-321.764.282.380.889; 225,18   
Ambrosetti;-615.468.550.660.326;-299.789.705.588.141; 227,43   
Ambul;-650.780.298.240.083;-315.186.767.924.263; 229,71   
Ameghino;-550.615.940.730.353;-276.952.894.204.323; 232,00   
Amen«≠bar;-624.106.609.815.495;-340.808.111.397.627; 234,32   
Ana Zumar«≠n;-630.580.417.534.197;-323.920.332.150.246; 236,67   
Ancajuli;-656.319.729.934.296;-266.237.677.972.485; 239,03   
Ancasti;-655.038.099.239.123;-289.266.654.118.729; 241,42   
Anchorena;-654.302.210.648.369;-35.672.961.161.783; 243,84   
Andacollo;-70.612.978.711.671;-372.626.267.236.257; 246,28   
Andalgal«≠;-664.219.289.567.448;-275.535.805.469.095; 248,74   
Ang«∏lica;-615.042.325.557.349;-315.216.603.668.339; 251,23   
Angaco;-681.319.625.798.127;-311.922.192.642.061; 253,74   
Angastaco;-663.372.867.377.435;-259.298.333.255.864; 256,28   
Angeloni;-6.071.959.729.594;-308.601.855.782.973; 258,84   
Anguil;-64.045.242.126.436;-365.543.101.532.231; 261,43   
Animan«≠;-659.762.475.210.556;-259.582.267.266.097; 264,04   
Anisacate;-644.044.575.589.392;-317.138.413.750.519; 266,68   
Antofagasta de la Sierra;-676.777.645.029.397;-259.455.797.002.437; 269,35   
Ap«¸stoles;-557.217.304.493.641;-279.025.022.905.258; 272,04   
Apolinario Saravia;-64.146.506.788.237;-245.066.508.305.036; 274,76   
Arata;-64.371.960.668.905;-356.396.510.640.821; 277,51   
Arauco;-667.191.515.034.156;-285.330.735.277.516; 280,29   
Arcadia;-657.395.231.227.396;-272.268.966.234.544; 283,09   
Arequito;-615.075.643.530.562;-331.514.565.982.898; 285,92   
Arias;-624.028.701.481.866;-336.394.688.790.659; 288,78   
Arist«¸bulo del Valle;-548.269.103.165.253;-271.247.440.389.736; 291,67   
Arizona;-653.157.176.252.592;-357.270.528.785.446; 294,58   
Arminda;-60.961.875.750.524;-332.495.867.421.022; 297,53   
Armstrong;-616.467.090.866.212;-328.821.841.927.186; 300,50   
Arocena;-608.840.247.197.208;-32.086.098.208.312; 303,51   
Arrayanal;-647.788.900.953.339;-241.313.201.861.624; 306,54   
Arrecifes;-600.627.625.274.553;-340.113.151.746.224; 309,61   
Arroyito;-630.461.064.879.716;-314.197.877.113.034; 312,71   
Arroyo Aguiar;-606.125.961.254.154;-314.107.990.800.837; 315,83   
Arroyo Cabral;-634.014.050.637.081;-324.891.001.131.456; 318,99   
Arroyo Ceibal;-593.815.838.624.303;-287.149.881.684.665; 322,18   
Arroyo del Medio;-553.978.728.810.584;-277.292.589.296.399; 325,40   
Arroyo Leyes;-604.683.779.918.803;-315.426.514.767.853; 328,66   
Arroyo los Berros;-663.180.512.632.965;-414.992.329.032.042; 331,94   
Arroyo los Patos;-650.013.233.421.398;-317.642.195.618.748; 335,26   
Arroyo Seco;-605.458.497.884.713;-331.690.763.212.677; 338,62   
Arroyo Ventana;-660.336.562.102.574;-417.917.583.774.206; 342,00   
Arrufo;-616.249.034.870.369;-302.359.984.087.839; 345,42   
Arteaga;-618.363.472.412.873;-331.368.578.390.942; 348,88   
Assunta;-632.252.758.695.141;-336.337.692.253.498; 352,37   
Atahona;-636.494.965.710.203;-308.588.942.256.558; 355,89   
Atahona;-652.924.614.558.123;-273.981.645.478.568; 359,45   
Ataliva;-614.318.015.145.206;-309.962.504.496.126; 363,04   
Ataliva Roca;-64.379.368.160.951;-369.558.969.256.195; 366,67   
Aurelia;-614.134.539.756.017;-313.921.074.922.445; 370,34   
Ausonia;-632.473.324.157.256;-325.890.346.393.292; 374,04   
Avellaneda;-595.355.066.403.473;-290.659.341.304.613; 377,78   
Avellaneda;-583.411.168.921.278;-346.782.056.572.109; 381,56   
Avellaneda;-642.284.115.066.381;-305.973.098.047.243; 385,38   
Avia Terai;-60.727.136.621.299;-265.818.308.825.305; 389,23   
Ayacucho;-584.425.813.265.357;-370.347.821.697.162; 393,12   
Azara;-556.663.453.779.073;-280.544.358.853.964; 397,05   
Azul;-5.969.665.215.894;-367.857.719.233.293; 401,02   
Ba«Òado de Soto;-650.550.301.741.107;-308.036.031.227.312; 405,04   
Bagual;-655.694.561.123.146;-351.430.062.488.726; 409,09   
Bah«a Blanca;-621.656.895.327.094;-385.808.546.732.895; 413,18   
Bajada del Agrio;-700.310.159.232.412;-384.056.776.856.649; 417,31   
Balcarce;-582.720.776.956.148;-377.142.728.192.546; 421,48   
Balde;-666.363.665.748.128;-334.521.935.892.927; 425,70   
Ballesteros;-629.807.310.033.667;-32.546.237.695.526; 429,95   
Ballesteros Sud;-630.250.790.508.917;-325.887.950.634.732; 434,25   
Balnearia;-626.695.377.581.646;-310.090.169.258.664; 438,59   
Baradero;-594.929.504.876.902;-339.321.914.567.436; 442,98   
Barrancas;-608.994.527.551.702;-322.528.057.469.076; 447,41   
Barrancas;-699.370.599.267.061;-368.598.372.922.577; 451,88   
Barranqueras;-589.196.674.519.405;-274.821.152.611.743; 456,40   
Barrios;-655.258.263.700.186;-222.821.895.352.065; 460,97   
Basail;-591.796.870.078.997;-278.743.070.022.137; 465,58   
Batavia;-656.871.985.106.842;-347.784.823.489.821; 470,23   
Bauer y Sigel;-619.502.905.535.617;-312.647.447.206.286; 474,94   
Beazley;-666.446.207.562.444;-337.572.721.991.329; 479,68   
Bel«∏n;-66.847.492.244.729;-277.111.201.189.354; 484,48   
Bell Ville;-626.950.392.494.893;-326.187.289.822.799; 489,33   
Bella Italia;-613.812.054.149.924;-312.622.960.932.673; 494,22   
Bella Vista;-589.304.362.711.764;-284.973.936.042.377; 499,16   
Bengolea;-636.714.870.729.591;-330.277.675.204.366; 504,15   
Benito Ju«≠rez;-598.883.008.698.795;-37.585.278.315.595; 509,20   
Benjam«n Gould;-627.275.448.917.718;-335.839.636.595.371; 514,29   
Benjamin Araoz y el Tajamar;-648.166.974.682.852;-265.650.275.880.602; 519,43   
Ber«¸n de Astrada;-576.113.792.118.727;-274.779.720.010.051; 524,62   
Berabev«ß;-618.668.567.595.637;-332.950.393.682.508; 529,87   
Berazategui;-581.552.626.919.147;-348.179.736.855.799; 535,17   
Berisso;-578.283.887.071.809;-349.094.634.802.474; 540,52   
Berna;-599.081.439.943.422;-292.271.092.112.468; 545,93   
Bernardo de Irigoyen;-539.464.480.272.826;-261.817.820.643.676; 551,39   
Bernardo de Irigoyen;-612.655.749.941.586;-321.672.138.904.681; 556,90   
Bernardo Larroude;-634.949.611.104.079;-350.688.510.274.548; 562,47   
Bernasconi;-640.988.711.483.355;-381.726.373.832.168; 568,09   
Berrotar«≠n;-643.889.098.621.187;-3.244.800.784.576; 573,77   
Bialet Mass«∏;-645.025.780.020.643;-313.121.237.322.311; 579,51   
Bigand;-61.184.565.773.874;-333.710.199.794.766; 585,31   
Bol«var;-611.496.836.148.108;-362.982.217.499.893; 591,16   
Bombal;-613.052.277.159.594;-334.572.041.858.145; 597,07   
Bonpland;-554.718.692.017.467;-274.778.638.061.425; 603,04   
Bonpland;-574.609.939.770.631;-299.449.424.362.472; 609,07   
Bouquet;-618.772.106.360.396;-324.169.834.004.818; 615,16   
Bouwer;-641.791.819.532.722;-31.549.740.886.705; 621,31   
Bragado;-606.042.295.511.118;-350.610.928.531.071; 627,53   
Brandsen;-581.760.719.473.086;-352.221.104.711.751; 633,80   
Brinkmann;-620.382.117.148.241;-308.738.051.951.416; 640,14   
Buchardo;-635.073.115.948.871;-347.236.789.574.212; 646,54   
Buen Pasto;-694.653.884.108.616;-45.068.316.569.196; 653,01   
Buena Esperanza;-652.537.704.313.506;-347.590.033.684.233; 659,54   
Buena Vista;-583.852.760.427.268;-250.710.502.152.579; 666,13   
Buena Vista;-654.086.112.719.943;-27.293.103.413.231; 672,79   
Bulnes;-646.777.003.609.733;-335.042.811.125.423; 679,52   
Bustinza;-613.524.022.732.471;-326.894.261.984.962; 686,32   
Buta Ranquil;-698.210.409.111.221;-372.421.306.229.288; 693,18   
C«¸rdoba;-641.832.233.457.647;-314.170.520.000.063; 700,11   
Caa Yar«;-553.054.526.023.442;-275.172.025.944.507; 707,11   
Ca«≠ Cat«;-577.316.255.330.139;-277.192.849.474.433; 714,19   
Ca«Òada de G«¸mez;-614.282.037.638.466;-32.843.409.026.257; 721,33   
Ca«Òada de Luque;-63.725.138.408.134;-307.381.485.912.168; 728,54   
Ca«Òada de Machado;-635.869.750.076.907;-314.291.231.437.251; 735,83   
Ca«Òada de R«o Pinto;-642.526.933.568.927;-307.405.230.006.184; 743,18   
Ca«Òada del Sauce;-646.369.274.751.008;-323.827.196.464.223; 750,62   
Ca«Òada del Ucle;-616.450.157.292.705;-333.931.162.937.243; 758,12   
Ca«Òada Omb«ß;-60.319.952.562.791;-282.891.586.111.307; 765,70   
Ca«Òada Rica;-606.433.660.436.222;-335.345.197.212.102; 773,36   
Ca«Òada Rosqu«n;-615.717.382.076.518;-320.184.866.476.057; 781,09   
Ca«Òuelas;-586.907.790.273.655;-351.450.252.367.714; 788,90   
Cabal;-607.457.774.013.044;-311.047.189.527.506; 796,79   
Cabalango;-645.640.472.582.906;-31.400.900.660.068; 804,76   
Cachi;-662.878.110.751.075;-250.590.252.489.353; 812,81   
Cacique Ariacaiqu«n;-602.659.296.649.813;-30.597.043.050.884; 820,94   
Cafayate;-6.588.008.457.856;-261.255.058.750.696; 829,15   
Cafferata;-620.868.929.871.934;-334.800.452.654.042; 837,44   
Caimancito;-646.976.261.158.454;-236.468.833.920.894; 845,81   
Calch«n;-631.974.210.579.747;-316.676.543.704.963; 854,27   
Calch«n Oeste;-632.781.089.159.471;-318.626.925.094.345; 862,81   
Calchaqu«;-603.771.331.093.143;-298.814.121.219.407; 871,44   
Caleuf«ß;-645.916.676.567.604;-356.439.826.197.757; 880,16   
Calilegua;-647.601.461.359.254;-237.336.839.551.609; 888,96   
Calingasta;-698.338.001.250.746;-314.533.652.386.093; 897,85   
Calmayo;-644.583.493.455.315;-320.456.338.882.203; 906,83   
Camarones;-657.501.067.941.953;-447.983.158.105.494; 915,89   
Camilo Aldao;-62.095.365.317.054;-331.268.229.039.745; 925,05   
Caminiaga;-64.015.966.693.721;-300.636.109.406.398; 934,30   
Campana;-588.830.222.693.034;-341.381.957.287.912; 943,65   
Campo Andino;-605.427.040.269.028;-312.742.893.672.832; 953,08   
Campo Grande;-681.813.074.789.279;-386.833.232.356.604; 962,61   
Campo Grande;-54.961.413.530.837;-272.318.963.611.694; 972,24   
Campo Largo;-608.027.099.375.602;-268.556.252.118.387; 981,96   
Campo Piaggio;-61.308.753.641.697;-319.578.774.355.502; 991,78   
Campo Quijano;-658.693.993.163.521;-24.503.469.017.085; 1.001,70   
Campo Ram«¸n;-549.662.782.162.749;-27.479.248.178.282; 1.011,72   
Campo Santo;-651.385.711.455.029;-246.921.051.071.382; 1.021,83   
Campo Viera;-550.718.611.745.211;-272.823.846.186.064; 1.032,05   
Canals;-628.811.407.005.032;-335.586.948.564.453; 1.042,37   
Candelaria;-658.335.092.068.251;-320.696.433.724.102; 1.052,80   
Candelaria;-557.145.175.073.734;-274.689.188.332.012; 1.063,32   
Candelaria Sud;-638.032.592.447.914;-308.433.176.604.863; 1.073,96   
Candioti;-607.596.570.635.364;-313.933.381.338.548; 1.084,70   
Cangrejillos;-655.405.751.330.491;-224.438.999.595.476; 1.095,54   
Capay«≠n;-658.955.424.431.811;-290.365.947.800.972; 1.106,50   
Capilla de los Remedios;-638.203.344.245.728;-314.269.081.145.413; 1.117,56   
Capilla del Carmen;-633.412.198.297.322;-315.078.552.559.627; 1.128,74   
Capilla del Monte;-645.261.710.599.971;-308.478.650.515.881; 1.140,03   
Capilla del Sit«¸n;-63.653.161.773.578;-305.721.396.926.692; 1.151,43   
Capiov«;-55.058.944.620.698;-269.170.167.064.855; 1.162,94   
Capit«≠n Berm«ßdez;-607.155.011.280.834;-328.201.185.294.457; 1.174,57   
Capit«≠n General B. O'Higgins;-622.690.389.534.895;-332.490.438.734.254; 1.186,32   
Capit«≠n Sarmiento;-598.548.037.960.898;-341.497.065.018.665; 1.198,18   
Capit«≠n Solari;-594.375.309.617.602;-268.012.560.068.177; 1.210,16   
Capital;-688.921.657.602.392;-328.806.541.047.985; 1.222,26   
Capital;-663.525.089.002.799;-294.604.898.579.358; 1.234,49   
Capitan Caceres;-656.997.955.571.369;-271.346.089.954.425; 1.246,83   
Capivara;-613.146.214.684.996;-30.474.802.158.899; 1.259,30   
Caraguatay;-546.714.739.429.375;-267.880.792.818.679; 1.271,89   
Carcara«Ò«≠;-61.130.992.566.775;-328.981.441.181.936; 1.284,61   
Carlos Casares;-613.737.522.686.863;-357.496.551.260.772; 1.297,46   
Carlos Pellegrini;-618.160.903.505.084;-320.531.376.864.246; 1.310,43   
Carlos Tejedor;-624.295.611.893.429;-35.379.488.920.773; 1.323,54   
Carmen;-617.809.193.437.975;-336.869.903.501.739; 1.336,77   
Carmen de Areco;-598.842.434.040.917;-344.067.983.092.213; 1.350,14   
Carmen del Sauce;-607.866.248.679.276;-332.300.039.630.842; 1.363,64   
Carnerillo;-640.239.837.960.829;-329.166.449.024.458; 1.377,28   
Carolina;-661.002.883.078.041;-328.230.037.708.213; 1.391,05   
Carolina;-591.310.526.751.935;-291.223.982.164.134; 1.404,96   
Carpinteria;-649.985.692.378.465;-324.108.231.858.127; 1.419,01   
Carrenleuf«ß;-716.561.282.123.594;-435.775.203.888.784; 1.433,20   
Carreras;-613.528.987.414.283;-336.251.532.592.475; 1.447,53   
Carrilobo;-631.151.968.886.878;-318.688.626.120.995; 1.462,01   
Carrizales;-610.545.249.334.282;-325.088.944.503.695; 1.476,63   
Carro Quemado;-653.294.244.941.345;-366.770.495.426.264; 1.491,39   
